,address,lat,long
377,부여군 부여읍 사비로 78,36.2796,126.910825
378,충남 서산시 예천동(석남동) 496-1 서산시보건소,,
379,충청남도 서산시 중앙로 149,36.7755835,126.4652578
380,충남 서천군 서천읍 군사리 799 서천군보건소,36.0822541,126.6896457
381,충남 서천군 서천읍 서천로 184,36.08452,126.6876024
382,충남 아산시 번영로224번길 20,36.7825669,127.0146097
383,충남 아산시 문화로 381 ,36.7792648,127.0198062
384,충남 아산시 시민로 388,36.7831143,127.0009756
385,세종  조치원읍 교리 129-1 세종특별자치시보건소 16,,
386,세종특별자치시 보듬7로20 세종충남대학교병원,36.5195133,127.2579427
387,충남 예산군 예산읍 예산리 777 예산군청 예산군보건소,36.6806764,126.8447741
388,충남 예산군 예산읍 금오대로 94,36.6910744,126.8379717
389,충청남도 천안시 서북구 다가말3길 8,36.7974023,127.1315016
390,충청남도 천안시 동남구 순천향6길 31,36.8027381,127.1358588
391,충청남도 천안시 동남구 충절로 537,36.7756271,127.1791797
392,충청남도 천안시 동남구 남부대로 350 (청당동,36.7809945,127.1557598
393,충남 천안시 동남구 문화동 112-14,36.8074887,127.1511697
394,충남 홍성군 홍성읍 문화로106,36.5966864,126.6630687
395,충남 홍성군 홍성읍 조양로 224,36.599349,126.674413
396,충남 청양군 청양읍 ,36.4535441,126.8066685
397,충남 태안군 태안읍 평천리 698-6,36.7521475,126.3228982
398,전북 고창군 고창읍 율계리 101(전봉준로 90),35.4436053,126.6832459
399,전북 고창군 고창읍 화신1길 9,35.4364278,126.6933531
400,전북 군산시 수송동 851-1,35.9646977,126.7202013
401,전라북도 군산시 의료원로27,35.9549526,126.7117407
402,전라북도 군산시 149,,
403,전북 김제시 요촌동 423-2,35.8007973,126.8832974
404,전북 남원시 조산동(금동) 455 남원시보건소,,
405,남원시 충정로 365 ,35.4318756,127.4073171
406,전북 부안군 부안읍 봉덕리 551-2,35.7229522,126.7357943
407,전북 부안군 부안읍 오정2길 24,35.7248858,126.7344047
408,전북 완주군 삼례읍 삼봉8로 10-10 완주군보건소 ,35.9218804,127.1219853
409,전북 익산시 신동 142-8 ,35.9609124,126.9665564
410,전북 익산시 무왕로 969,35.9616504,126.9665159
411,전북 전주시 완산구 중앙동4가 30-1(전라감영로 33),35.8153632,127.1427945
412,전주시 덕진구 견훤로 390,35.8459811,127.1533991
413,전주시 완산구 한두평3길 13,35.8152449,127.1248117
414,전주시 덕진구 동부대로 895,35.8654628,127.1479135
415,전주시 완산구 서원로 365 ,35.8143917,127.1332292
416,전북 정읍시 수성동 958-2,35.5779411,126.8545154
417,전북 정읍시 충정로 606-22 ,35.5888321,126.8234125
418,전북 진안군 진안읍 군상리 90-15 진안보건소 진안군보건소,35.797192,127.4347817
419,진안군 진안읍 진무로 1145,35.7953017,127.4320459
420,전북 무주군 무주읍 당산리 701 ,36.0056412,127.6717102
421,전북 순창군 순창읍 교성리 419-1,35.3669518,127.143662
422,전북 임실군 임실읍 이도리 270-8 임실군 보건의료원 (270-8번지),35.612664,127.2870245
423,전북 장수군 장수읍 장수리 425 장수보건의료원,35.6543194,127.5198396
424,전남 강진군 강진읍 목리 11,34.6361026,126.7810629
425,전남 강진군 강진읍 탐진로 5,34.6368113,126.7578654
426,전라남도 고흥군 고흥읍 등암리 1258-21번지,34.5924196,127.2686684
427,전남 고흥군 고흥읍 고흥로 1935,34.6210654,127.2939625
428,전남 고흥군 도양읍 차경구렁목길 215,34.5462583,127.1457
429,"전남 광양시 광양읍 칠성리 70 광양만권경제자유구역청, 광양시제2청사",34.9807071,127.5830551
430,전라남도 광양시 공영로 71,34.9361846,127.6969657
431,전남 나주시 이창동 740-1 ,34.9951953,126.7082684
432,전남 나주시 영산로 5419,35.0363159,126.7213975
433,전남 담양군 담양읍 만성리 135,35.3249349,126.9813498
434,담양군 담양읍 천변7길 19,35.3152982,126.9825737
435,전남 목포시 산정동 1676 ,34.8041801,126.3737698
436,전남 목포시 영산로 483,34.8092997,126.4164223
437,전남 목포시 백년대로 303,34.8045333,126.4206
438,전남 목포시 영산로 627,34.8212626,126.4217794
439,전남 목포시 이로로 18,34.8039839,126.4053627
440,전남 목포시 고하대로 795-2,34.8168192,126.3802331
